
complaint_id,date,division,district,channel,sector,accused_type,amount,complaint_text,risk_label
C-1208,2023-11-13,Rangpur,Rangpur,Written Application,Recruitment,Ministry Official,250000,Ministry Official took money but did not give the service.,Medium
C-1209,2023-07-04,Rajshahi,Bogura,Online Form,Education,Education Officer,100000,Assets of Education Officer increased abnormally in last 2 years.,Medium
C-1210,2023-02-01,Chattogram,Feni,Hotline 106,Health,Ward Boy,10000,"Sir, the Ward Boy demanded 10000 taka for medicine supply.",Low
C-1211,2023-10-12,Khulna,Bagerhat,Email,Tender/Procurement,Executive Engineer,100000,Executive Engineer hired his own relative for the post of supply of computers.,Medium
C-1212,2023-08-24,Rajshahi,Bogura,Email,Recruitment,Ministry Official,1000000,Assets of Ministry Official increased abnormally in last 2 years.,Medium
C-1213,2024-03-25,Rangpur,Gaibandha,Email,Police,SI,1000000,Bill passed for GD entry but no work done by SI.,Medium
C-1214,2023-10-02,Khulna,Jashore,Online Form,Land,Land Officer,5000000,"Sir, the Land Officer demanded 5000000 taka for khatian issue.",High
C-1215,2023-05-24,Rajshahi,Sirajganj,Online Form,Recruitment,Headmaster,5000000,Assets of Headmaster increased abnormally in last 2 years.,High
C-1216,2024-01-03,Dhaka,Manikganj,Hotline 106,Municipality,Engineer,50000,Engineer is harassing me for 50000 taka.,Low
C-1217,2023-06-23,Khulna,Bagerhat,Email,Land,AC Land,500000,AC Land hired his own relative for the post of land registration.,Medium
C-1218,2023-08-06,Rajshahi,Pabna,Online Form,Municipality,Engineer,5000000,Illegal transaction of 5000000 taka caught on tape by Engineer.,High
C-1219,2023-04-02,Rangpur,Gaibandha,Written Application,Health,Store Keeper,100000,Illegal transaction of 100000 taka caught on tape by Store Keeper.,Medium
C-1220,2023-11-06,Sylhet,Moulvibazar,Written Application,Education,Headmaster,500000,Used low quality materials in exam fees construction.,Medium
C-1221,2023-08-25,Barishal,Bhola,Hotline 106,Land,Sub-Registrar,5000,Used low quality materials in land registration construction.,Low
C-1222,2023-05-13,Rangpur,Rangpur,Online Form,Land,Surveyor,50000,Assets of Surveyor increased abnormally in last 2 years.,Low
C-1223,2023-11-22,Mymensingh,Sherpur,Email,Police,SI,50000,Bill passed for case filing but no work done by SI.,Low
C-1224,2023-06-10,Dhaka,Faridpur,Online Form,Tender/Procurement,Project Director,100000,Project Director hired his own relative for the post of school building.,Medium
C-1225,2023-05-30,Dhaka,Faridpur,Written Application,Tender/Procurement,Project Director,10000,Project Director is harassing me for 10000 taka.,Low
C-1226,2023-11-10,Sylhet,Habiganj,Online Form,Recruitment,Ministry Official,10000,Ministry Official asks for speed money to move the file.,Low
C-1227,2023-01-31,Rangpur,Kurigram,Email,Banking,Cashier,1000000,Illegal transaction of 1000000 taka caught on tape by Cashier.,Medium
C-1228,2024-01-31,Mymensingh,Sherpur,Written Application,Education,Teacher,10000,"Sir, the Teacher demanded 10000 taka for admission.",Low
C-1229,2023-01-16,Chattogram,Chandpur,Email,Education,Headmaster,10000,Assets of Headmaster increased abnormally in last 2 years.,Low
C-1230,2023-11-03,Chattogram,Chandpur,Written Application,Recruitment,Headmaster,100000,Headmaster asks for speed money to move the file.,Medium
C-1231,2024-01-16,Rangpur,Dinajpur,Email,Health,Doctor,3000000,Used low quality materials in patient admission construction.,High
C-1232,2023-02-16,Khulna,Satkhira,Hotline 106,Health,Store Keeper,5000,Store Keeper asks for speed money to move the file.,Low
C-1233,2023-10-20,Chattogram,Chandpur,Email,Banking,Cashier,50000,Illegal transaction of 50000 taka caught on tape by Cashier.,Low
C-1234,2023-11-16,Dhaka,Dhaka,Written Application,Education,Education Officer,10000,Education Officer is harassing me for 10000 taka.,Low
C-1235,2023-08-20,Rangpur,Dinajpur,Online Form,Health,Ward Boy,5000000,Government fund for surgery misappropriated by Ward Boy.,High
C-1236,2023-01-04,Khulna,Satkhira,Written Application,Municipality,Mayor,5000000,Mayor took money but did not give the service.,High
C-1237,2024-03-17,Barishal,Bhola,Written Application,Tender/Procurement,Supplier,500000,Used low quality materials in school building construction.,Medium
C-1238,2024-03-20,Sylhet,Sunamganj,Written Application,Municipality,Mayor,1000000,Refusing to do work without extra payment of 1000000.,Medium
C-1239,2023-12-05,Chattogram,Feni,Email,Police,OC,50000,OC hired his own relative for the post of case filing.,Low
C-1240,2023-08-30,Rajshahi,Naogaon,Hotline 106,Tender/Procurement,Executive Engineer,20000,Refusing to do work without extra payment of 20000.,Low
C-1241,2023-12-07,Mymensingh,Sherpur,Written Application,Health,Doctor,10000,Refusing to do work without extra payment of 10000.,Low
C-1242,2023-04-18,Barishal,Barishal,Hotline 106,Education,Clerk,10000,Clerk hired his own relative for the post of exam fees.,Low
C-1243,2023-10-18,Sylhet,Habiganj,Hotline 106,Municipality,Tax Collector,50000,Bill passed for trade license but no work done by Tax Collector.,Low
C-1244,2023-03-29,Sylhet,Sylhet,Email,Banking,Cashier,20000,Bill passed for SME loan but no work done by Cashier.,Low
C-1245,2023-08-01,Khulna,Kushtia,Online Form,Land,AC Land,10000,Refusing to do work without extra payment of 10000.,Low
C-1246,2023-02-15,Khulna,Khulna,Written Application,Health,Doctor,500000,Government fund for patient admission misappropriated by Doctor.,Medium
C-1247,2023-10-12,Dhaka,Narayanganj,Hotline 106,Police,OC,50000,Illegal transaction of 50000 taka caught on tape by OC.,Low
C-1248,2023-08-21,Rangpur,Kurigram,Email,Tender/Procurement,Project Director,500000,Assets of Project Director increased abnormally in last 2 years.,Medium
C-1249,2023-09-02,Barishal,Barishal,Email,Land,AC Land,100000,Government fund for namjari misappropriated by AC Land.,Medium
C-1250,2023-08-27,Sylhet,Sunamganj,Email,Banking,Loan Officer,20000,"Sir, the Loan Officer demanded 20000 taka for SME loan.",Low
C-1251,2023-06-16,Mymensingh,Mymensingh,Online Form,Banking,Cashier,10000000,Cashier asks for speed money to move the file.,High
C-1252,2023-06-06,Sylhet,Moulvibazar,Email,Land,Land Officer,5000,Refusing to do work without extra payment of 5000.,Low
C-1253,2023-10-29,Khulna,Jashore,Online Form,Education,Clerk,500000,Clerk hired his own relative for the post of exam fees.,Medium
C-1254,2023-12-17,Chattogram,Chattogram,Hotline 106,Police,Inspector,100000,Huge corruption in passport verification by Inspector. Amount embezzled approx 100000.,Medium
C-1255,2023-05-29,Dhaka,Narayanganj,Written Application,Police,OC,10000,"Sir, the OC demanded 10000 taka for GD entry.",Low
C-1256,2023-08-29,Sylhet,Moulvibazar,Email,Education,Clerk,1000000,Huge corruption in MPO enlistment by Clerk. Amount embezzled approx 1000000.,Medium
C-1257,2023-08-25,Chattogram,Feni,Email,Municipality,Engineer,80000,Bill passed for birth registration but no work done by Engineer.,Medium
C-1258,2024-01-31,Chattogram,Chattogram,Hotline 106,Health,Doctor,10000,Refusing to do work without extra payment of 10000.,Low
C-1259,2023-06-11,Mymensingh,Netrokona,Written Application,Police,Constable,5000,Used low quality materials in GD entry construction.,Low
C-1260,2023-05-15,Barishal,Patuakhali,Hotline 106,Tender/Procurement,Supplier,500000,"Sir, the Supplier demanded 500000 taka for supply of computers.",Medium
C-1261,2023-06-17,Rangpur,Kurigram,Email,Municipality,Engineer,100000,Huge corruption in holding tax by Engineer. Amount embezzled approx 100000.,Medium
C-1262,2023-09-07,Barishal,Pirojpur,Email,Recruitment,Headmaster,1000000,Illegal transaction of 1000000 taka caught on tape by Headmaster.,Medium
C-1263,2023-03-25,Barishal,Pirojpur,Written Application,Police,Inspector,100000,Inspector is harassing me for 100000 taka.,Medium
C-1264,2023-05-14,Rangpur,Kurigram,Hotline 106,Banking,Cashier,10000,"Sir, the Cashier demanded 10000 taka for mortgage release.",Low
C-1265,2023-05-22,Rajshahi,Pabna,Written Application,Tender/Procurement,Supplier,500000,Assets of Supplier increased abnormally in last 2 years.,Medium
C-1266,2023-05-13,Rajshahi,Rajshahi,Written Application,Banking,Bank Manager,50000,Refusing to do work without extra payment of 50000.,Low
C-1267,2023-06-04,Chattogram,Chandpur,Written Application,Health,Doctor,5000000,Doctor asks for speed money to move the file.,High
C-1268,2023-10-29,Rangpur,Gaibandha,Written Application,Recruitment,Headmaster,100000,Bill passed for office assistant job but no work done by Headmaster.,Medium
C-1269,2023-12-24,Mymensingh,Netrokona,Online Form,Banking,Bank Manager,25000000,Bank Manager took money but did not give the service.,High
C-1270,2023-05-25,Barishal,Barishal,Hotline 106,Recruitment,Ministry Official,10000,Used low quality materials in peon recruitment construction.,Low
C-1271,2023-04-19,Mymensingh,Jamalpur,Written Application,Banking,Loan Officer,1000000,Bill passed for mortgage release but no work done by Loan Officer.,Medium
C-1272,2023-04-30,Barishal,Bhola,Email,Land,Land Officer,50000,Refusing to do work without extra payment of 50000.,Low
C-1273,2024-02-02,Mymensingh,Netrokona,Email,Health,Ward Boy,500000,Government fund for patient admission misappropriated by Ward Boy.,Medium
C-1274,2023-10-09,Dhaka,Manikganj,Email,Education,Headmaster,5000000,Huge corruption in exam fees by Headmaster. Amount embezzled approx 5000000.,High
C-1275,2023-03-14,Khulna,Kushtia,Email,Tender/Procurement,Supplier,5000,Government fund for road construction misappropriated by Supplier.,Low
C-1276,2024-01-28,Rajshahi,Bogura,Email,Municipality,Engineer,50000,Illegal transaction of 50000 taka caught on tape by Engineer.,Low
C-1277,2023-02-15,Rangpur,Gaibandha,Email,Health,Ward Boy,20000,Government fund for surgery misappropriated by Ward Boy.,Low
C-1278,2023-10-25,Dhaka,Faridpur,Written Application,Recruitment,Chairman,15000,Government fund for primary teacher job misappropriated by Chairman.,High
C-1279,2023-02-07,Rangpur,Dinajpur,Written Application,Land,AC Land,10000,AC Land asks for speed money to move the file.,Low
C-1280,2023-07-18,Dhaka,Dhaka,Written Application,Land,Sub-Registrar,5000,Used low quality materials in khatian issue construction.,Low
C-1281,2024-02-11,Rangpur,Gaibandha,Hotline 106,Banking,Loan Officer,500000,Used low quality materials in mortgage release construction.,Medium
C-1282,2023-11-28,Sylhet,Moulvibazar,Written Application,Municipality,Councilor,5000,Councilor took money but did not give the service.,Low
C-1283,2023-02-21,Rajshahi,Sirajganj,Hotline 106,Education,Headmaster,5000,Government fund for admission misappropriated by Headmaster.,Low
C-1284,2023-08-17,Mymensingh,Netrokona,Written Application,Tender/Procurement,Project Director,500000,Refusing to do work without extra payment of 500000.,Medium
C-1285,2023-07-18,Sylhet,Sunamganj,Email,Land,Broker,30000,Huge corruption in khatian issue by Broker. Amount embezzled approx 30000.,Low
C-1286,2023-05-03,Mymensingh,Mymensingh,Hotline 106,Recruitment,Civil Surgeon,1000000,Government fund for peon recruitment misappropriated by Civil Surgeon.,Medium
C-1287,2023-06-07,Sylhet,Sylhet,Email,Police,Constable,100000,Huge corruption in GD entry by Constable. Amount embezzled approx 100000.,Medium
C-1288,2023-10-20,Khulna,Jashore,Written Application,Recruitment,Headmaster,1000000,Assets of Headmaster increased abnormally in last 2 years.,Medium
C-1289,2023-08-10,Khulna,Bagerhat,Email,Police,Inspector,1000000,Inspector is harassing me for 1000000 taka.,Medium
C-1290,2023-04-12,Sylhet,Habiganj,Written Application,Health,Nurse,100000,Nurse is harassing me for 100000 taka.,Medium
C-1291,2023-02-18,Rangpur,Rangpur,Hotline 106,Police,SI,1000000,SI took money but did not give the service.,Medium
C-1292,2023-04-29,Dhaka,Dhaka,Hotline 106,Banking,Loan Officer,5000000,Refusing to do work without extra payment of 5000000.,High
C-1293,2023-10-15,Barishal,Bhola,Hotline 106,Municipality,Mayor,50000,"Sir, the Mayor demanded 50000 taka for birth registration.",Low
C-1294,2023-02-25,Khulna,Satkhira,Written Application,Education,Teacher,100000,Assets of Teacher increased abnormally in last 2 years.,Medium
C-1295,2023-01-29,Khulna,Khulna,Hotline 106,Banking,Bank Manager,50000,Government fund for mortgage release misappropriated by Bank Manager.,Low
C-1296,2023-01-20,Dhaka,Faridpur,Online Form,Municipality,Tax Collector,5000000,Tax Collector is harassing me for 5000000 taka.,High
C-1297,2023-03-31,Dhaka,Gazipur,Written Application,Health,Ward Boy,2000000,Assets of Ward Boy increased abnormally in last 2 years.,High
C-1298,2023-05-28,Rajshahi,Pabna,Online Form,Municipality,Mayor,50000,Used low quality materials in holding tax construction.,Low
C-1299,2023-03-21,Barishal,Patuakhali,Hotline 106,Land,Broker,5000,Broker is harassing me for 5000 taka.,Low
C-1300,2023-02-13,Chattogram,Noakhali,Written Application,Banking,Cashier,100000,Huge corruption in mortgage release by Cashier. Amount embezzled approx 100000.,Medium
C-1301,2024-03-02,Sylhet,Moulvibazar,Hotline 106,Land,Surveyor,500000,Illegal transaction of 500000 taka caught on tape by Surveyor.,Medium
C-1302,2023-08-16,Barishal,Barishal,Email,Banking,Bank Manager,1000000,Used low quality materials in SME loan construction.,Medium
C-1303,2023-05-24,Rajshahi,Rajshahi,Online Form,Health,Ward Boy,5000000,Government fund for surgery misappropriated by Ward Boy.,High
C-1304,2023-10-10,Rajshahi,Pabna,Email,Municipality,Tax Collector,5000000,Tax Collector hired his own relative for the post of birth registration.,High
C-1305,2024-01-02,Rangpur,Gaibandha,Online Form,Police,OC,500000,OC asks for speed money to move the file.,Medium
C-1306,2023-10-27,Sylhet,Sunamganj,Written Application,Tender/Procurement,Supplier,100000,Assets of Supplier increased abnormally in last 2 years.,Medium
C-1307,2024-03-11,Mymensingh,Netrokona,Online Form,Education,Clerk,1000000,Government fund for MPO enlistment misappropriated by Clerk.,Medium
C-1308,2023-12-28,Sylhet,Habiganj,Email,Land,Sub-Registrar,50000,Bill passed for khatian issue but no work done by Sub-Registrar.,Low
C-1309,2023-12-08,Chattogram,Noakhali,Written Application,Police,Inspector,5000,Huge corruption in GD entry by Inspector. Amount embezzled approx 5000.,Low
C-1310,2023-01-28,Mymensingh,Jamalpur,Online Form,Municipality,Engineer,20000,Engineer took money but did not give the service.,Low
C-1311,2023-06-03,Barishal,Barishal,Email,Land,Tehsildar,1500000,Refusing to do work without extra payment of 1500000.,High
C-1312,2023-11-03,Dhaka,Dhaka,Written Application,Police,SI,5000000,Government fund for passport verification misappropriated by SI.,High
C-1313,2023-07-28,Chattogram,Cox's Bazar,Hotline 106,Municipality,Engineer,10000,Assets of Engineer increased abnormally in last 2 years.,Low
C-1314,2023-02-24,Khulna,Jashore,Hotline 106,Banking,Bank Manager,5000,"Sir, the Bank Manager demanded 5000 taka for loan sanction.",Low
C-1315,2023-04-12,Rajshahi,Naogaon,Hotline 106,Land,Land Officer,5000,Illegal transaction of 5000 taka caught on tape by Land Officer.,Low
C-1316,2023-05-07,Dhaka,Tangail,Online Form,Education,Education Officer,1000000,"Sir, the Education Officer demanded 1000000 taka for admission.",Medium
C-1317,2023-04-14,Barishal,Pirojpur,Hotline 106,Health,Doctor,5000,Bill passed for surgery but no work done by Doctor.,Low
C-1318,2023-09-24,Chattogram,Feni,Hotline 106,Education,Clerk,5000000,Assets of Clerk increased abnormally in last 2 years.,High
C-1319,2023-05-15,Mymensingh,Sherpur,Email,Health,Doctor,1000000,Doctor is harassing me for 1000000 taka.,Medium
C-1320,2023-09-07,Mymensingh,Mymensingh,Online Form,Education,Clerk,5000,"Sir, the Clerk demanded 5000 taka for MPO enlistment.",Low
C-1321,2023-05-20,Mymensingh,Jamalpur,Written Application,Banking,Loan Officer,10000000,Government fund for mortgage release misappropriated by Loan Officer.,High
C-1322,2023-02-25,Barishal,Pirojpur,Email,Police,Inspector,5000,Used low quality materials in passport verification construction.,Low
C-1323,2023-01-08,Chattogram,Feni,Hotline 106,Education,Education Officer,500000,Education Officer hired his own relative for the post of MPO enlistment.,Medium
C-1324,2023-04-06,Khulna,Jashore,Written Application,Tender/Procurement,Project Director,5000000,Huge corruption in supply of computers by Project Director. Amount embezzled approx 5000000.,High
C-1325,2023-07-26,Rajshahi,Naogaon,Written Application,Land,Tehsildar,5000,Used low quality materials in mutation construction.,Low
C-1326,2023-01-17,Rajshahi,Pabna,Email,Police,Constable,20000,Assets of Constable increased abnormally in last 2 years.,Low
C-1327,2024-01-19,Chattogram,Cumilla,Written Application,Municipality,Mayor,50000,Illegal transaction of 50000 taka caught on tape by Mayor.,Low
C-1328,2023-03-06,Barishal,Bhola,Hotline 106,Land,Tehsildar,1000000,Tehsildar is harassing me for 1000000 taka.,Medium
C-1329,2023-12-24,Chattogram,Chattogram,Written Application,Municipality,Councilor,400000,Councilor is harassing me for 400000 taka.,Medium
C-1330,2024-02-12,Mymensingh,Mymensingh,Email,Education,Headmaster,500000,Bill passed for exam fees but no work done by Headmaster.,Medium
C-1331,2023-07-06,Rajshahi,Rajshahi,Hotline 106,Land,AC Land,100000,Illegal transaction of 100000 taka caught on tape by AC Land.,Medium
C-1332,2023-08-30,Rajshahi,Bogura,Online Form,Recruitment,Headmaster,100000,Bill passed for primary teacher job but no work done by Headmaster.,Medium
C-1333,2023-03-09,Mymensingh,Mymensingh,Hotline 106,Tender/Procurement,Contractor,5000000,Illegal transaction of 5000000 taka caught on tape by Contractor.,High
C-1334,2024-02-14,Sylhet,Sunamganj,Online Form,Recruitment,Headmaster,5000000,Used low quality materials in peon recruitment construction.,High
C-1335,2023-04-18,Dhaka,Manikganj,Hotline 106,Education,Education Officer,1000000,Huge corruption in admission by Education Officer. Amount embezzled approx 1000000.,Medium
C-1336,2023-07-06,Mymensingh,Mymensingh,Written Application,Health,Store Keeper,30000,Illegal transaction of 30000 taka caught on tape by Store Keeper.,Low
C-1337,2023-10-18,Rangpur,Gaibandha,Written Application,Banking,Bank Manager,1000000,Refusing to do work without extra payment of 1000000.,Medium
C-1338,2023-10-07,Sylhet,Moulvibazar,Online Form,Tender/Procurement,Contractor,100000,Huge corruption in supply of computers by Contractor. Amount embezzled approx 100000.,Medium
C-1339,2023-09-23,Barishal,Bhola,Online Form,Education,Education Officer,500000,Huge corruption in admission by Education Officer. Amount embezzled approx 500000.,Medium
C-1340,2023-01-05,Sylhet,Sunamganj,Hotline 106,Education,Education Officer,5000,"Sir, the Education Officer demanded 5000 taka for admission.",Low
C-1341,2024-01-02,Rajshahi,Bogura,Written Application,Municipality,Councilor,40000,Councilor took money but did not give the service.,Low
C-1342,2023-05-02,Barishal,Barishal,Hotline 106,Banking,Cashier,10000000,Cashier took money but did not give the service.,High
C-1343,2023-01-21,Dhaka,Gazipur,Email,Land,Land Officer,20000,Land Officer asks for speed money to move the file.,Low
C-1344,2023-09-01,Sylhet,Moulvibazar,Hotline 106,Education,Headmaster,2000000,Illegal transaction of 2000000 taka caught on tape by Headmaster.,High
C-1345,2023-05-21,Khulna,Khulna,Hotline 106,Health,Doctor,50000,Doctor took money but did not give the service.,Low
C-1346,2023-11-22,Sylhet,Sunamganj,Email,Education,Education Officer,5000000,Government fund for exam fees misappropriated by Education Officer.,High
C-1347,2023-08-02,Dhaka,Dhaka,Email,Recruitment,Chairman,5000,Refusing to do work without extra payment of 5000.,High
C-1348,2023-01-20,Khulna,Khulna,Email,Recruitment,Civil Surgeon,5000,Civil Surgeon is harassing me for 5000 taka.,Low
C-1349,2023-04-20,Rangpur,Gaibandha,Online Form,Banking,Loan Officer,100000,Assets of Loan Officer increased abnormally in last 2 years.,Medium
C-1350,2023-12-04,Dhaka,Manikganj,Online Form,Recruitment,Headmaster,5000,Headmaster took money but did not give the service.,Low
